codi;nom;adreca;latitud;longitud
25677;Pere Martell, 54;Pere Martell, 54;41.112576;1.243054
25676;Apodaca, 11;Apodaca, 11;41.111992;1.250512
25561;Jaume I;Reial front 2;41.111795;1.243345
25624;Reial;Reial, 32;41.111325;1.246106
25146;Pl. Carros;Pl. dels Carros;41.110555;1.250432
25051;Posit;Trafalgar, front plaça Bisbe Bonet;41.109025;1.239075
25030;Centre A;Interior Complex Educatiu;41.102725;1.2007633333
25053;Els Pins;Av. dels Pins, Residéncia Disminuits.;41.16422;1.2465816667
25015;Les Botigues;Av. St. Salvador, 76-78;41.16056;1.241046667
25103;L'Olivera;Av. St. Salvador, front 116;41.15805;1.241125
25110;Mas d'en Garrot;De les Vinyes amb Mas d'en Garrot;41.15778;1.24414
25659;El Pinatell;Ctra El Catllar;41.14115;1.31174
25052;Els Boscos;Alosa s/n;41.13835;1.2919633333
25063;Europa;Bloc Europa;41.13811;1.2528633333
25450;Lamote de Grignon;Lamote de Grignon, parc;41.13779;1.301035
25721;Jaume Pahissa, 13;Jaume Pahissa, 18-20;41.13754;1.299052
25120;Monnars Residencial;Av. Boscos, 10;41.13737;1.2963816667
25182;St. Jordi;Bloc St. Jordi;41.13672;1.2535816667
25059;Esquirol;Passeig de l' Esquirol, front diposits EMATSAdirecc. Ferran;41.13547;1.353741667
25449;Oscar Esplà;Oscar Esplà, 29;41.13522;1.3013366667
25537;Educacional N-240;Ctra. N-240, accés A7;41.13083;1.239848333
25044;Educacional N-240;Ctra. N-240, cruïlla accés Z. Educacional;41.13043;1.240443333
