"NOMZONA","EDAD","SEXE","NACIONALITAT","NUMERO","CODI_ENS","NOM_ENS"
"MONTGONS (ELS)","56","D","ESPANYA","13","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","27","H","ESPANYA","37","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","80","D","ESTRANGER","2","4314820002","AJUNTAMENT DE TARRAGONA"
"BOSCOS DE TARRAGONA (ELS)","38","H","ESPANYA","5","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","45","H","ESPANYA","12","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","18","D","ESPANYA","33","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","12","H","ESPANYA","109","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","35","H","ESPANYA","22","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","12","H","ESPANYA","31","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","47","D","ESTRANGER","3","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","41","H","ESTRANGER","3","4314820002","AJUNTAMENT DE TARRAGONA"
"PINEDES (LES)","38","H","ESTRANGER","1","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","23","D","ESTRANGER","12","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","20","H","ESTRANGER","49","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","11","H","ESPANYA","18","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","11","D","ESPANYA","12","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","11","D","ESPANYA","4","4314820002","AJUNTAMENT DE TARRAGONA"
"MONNARS","11","D","ESPANYA","10","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","41","H","ESPANYA","7","4314820002","AJUNTAMENT DE TARRAGONA"
"OLIVA (L`)","11","H","ESPANYA","1","4314820002","AJUNTAMENT DE TARRAGONA"
"BONAVISTA","20","H","ESTRANGER","14","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","36","D","ESPANYA","17","4314820002","AJUNTAMENT DE TARRAGONA"
"MONTGONS (ELS)","12","H","ESTRANGER","6","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","50","H","ESTRANGER","7","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","30","D","ESTRANGER","21","4314820002","AJUNTAMENT DE TARRAGONA"
"BOSCOS DE TARRAGONA (ELS)","36","H","ESPANYA","6","4314820002","AJUNTAMENT DE TARRAGONA"
"TARRAGONA","10","D","ESPANYA","243","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","10","D","ESPANYA","30","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","10","H","ESPANYA","105","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","10","H","ESPANYA","92","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","10","H","ESTRANGER","17","4314820002","AJUNTAMENT DE TARRAGONA"
"CALA ROMANA","37","D","ESPANYA","2","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","10","H","ESPANYA","9","4314820002","AJUNTAMENT DE TARRAGONA"
"TORREFORTA","81","D","ESTRANGER","3","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT PERE I SANT PAU","32","D","ESTRANGER","29","4314820002","AJUNTAMENT DE TARRAGONA"
"ARRABASSADA I SAVINOSA","17","H","ESTRANGER","4","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","30","D","ESPANYA","21","4314820002","AJUNTAMENT DE TARRAGONA"
"CAMPSA","61","D","ESPANYA","7","4314820002","AJUNTAMENT DE TARRAGONA"
"SANT SALVADOR","11","H","ESTRANGER","17","4314820002","AJUNTAMENT DE TARRAGONA"
"TAMARIT","90","D","ESPANYA","2","4314820002","AJUNTAMENT DE TARRAGONA"
