"CODI","NOM","ADRECA","LATITUD","LONGITUD","CODI_ENS","NOM_ENS"
"25084,0","La Floresta T-11","Vial Circunvalació La Floresta","41.12670667","1.213365","4314820002","AJUNTAMENT DE TARRAGONA"
"25470,0","Escola Tarragona","Darrera Hosp. Joan XXIII","41.12664667","1.237516667","4314820002","AJUNTAMENT DE TARRAGONA"
"25524,0","Cala Romana","Ctra. N-340, Km. 1167","41.12546833","1.289053333","4314820002","AJUNTAMENT DE TARRAGONA"
"25214,0","SS Francoli",,"41.12506167","1.239646667","4314820002","AJUNTAMENT DE TARRAGONA"
"25510,0","Aqí¼educte","Rovira i Virgili, 68","41.12483167","1.253045","4314820002","AJUNTAMENT DE TARRAGONA"
"25514,0","Barri Nou","Camí dels Antigons, 1","41.12469833","1.180278333","4314820002","AJUNTAMENT DE TARRAGONA"
"25077,0","Institut","Riu Segre, Institut Campclar, direcció Campclar","41.12375333","1.211355","4314820002","AJUNTAMENT DE TARRAGONA"
"25554,0","Goya","Covadonga s/n","41.12350333","1.241331667","4314820002","AJUNTAMENT DE TARRAGONA"
"25560,0","Institut","Riu Segre, Intitut Campclar direccio Tgna","41.12336167","1.211216667","4314820002","AJUNTAMENT DE TARRAGONA"
"25507,0","4 Garrofers","Av. Catalunya 60","41.12307667","1.244611667","4314820002","AJUNTAMENT DE TARRAGONA"
"25509,0","Andorra","Av. Andorra, 10","41.12221833","1.244031667","4314820002","AJUNTAMENT DE TARRAGONA"
"25002,0","Andorra","Avinguda Principat d'Andorra, 13-15","41.12186167","1.244181667","4314820002","AJUNTAMENT DE TARRAGONA"
"25533,0","Catalunya","Rovira i Virgili, 40","41.12169333","1.251836667","4314820002","AJUNTAMENT DE TARRAGONA"
"25112,0","Masricard","Raval, 85","41.12089667","1.18096","4314820002","AJUNTAMENT DE TARRAGONA"
"25519,0","Bonavista","Carrer Quinze, 29","41.12055833","1.191636667","4314820002","AJUNTAMENT DE TARRAGONA"
"25625,0","Riuclar","Riuclar, front bloc 5","41.12046333","1.224781667","4314820002","AJUNTAMENT DE TARRAGONA"
"25006,0","Catalunya","Av. Catalunya, 22","41.12014667","1.252548333","4314820002","AJUNTAMENT DE TARRAGONA"
"25632,0","Segre","Riu Segre, 7 A","41.11977333","1.211425","4314820002","AJUNTAMENT DE TARRAGONA"
"25641,0","Tarradellas","Riu Siurana amb Riu Besós","41.11945333","1.208001667","4314820002","AJUNTAMENT DE TARRAGONA"
"25096,0","Les Neus","Marina, 50","41.11939167","1.179741667","4314820002","AJUNTAMENT DE TARRAGONA"
"25465,0","Pl.Imperial Tàrraco-1",,"41.11930333","1.245975","4314820002","AJUNTAMENT DE TARRAGONA"
"25605,0","Pl. Imperial Tàrraco","Pl. Imperial Tàrraco, 1. Antiga facultat de lletres","41.11930333","1.245926667","4314820002","AJUNTAMENT DE TARRAGONA"
"25488,0","Carrer Vint, 56","Carrer Vint, 56","41.11927833","1.194388333","4314820002","AJUNTAMENT DE TARRAGONA"
"25133,0","Enric d'Ossó","Enric d'Ossó, Institut Martí Franqués","41.11921167","1.242486667","4314820002","AJUNTAMENT DE TARRAGONA"
"25652,0","Via Augusta","Via Augusta, 74","41.11883833","1.268558333","4314820002","AJUNTAMENT DE TARRAGONA"
"25613,0","Portal del Roser","Av. Catalunya, parc Saavedra","41.11866167","1.254531667","4314820002","AJUNTAMENT DE TARRAGONA"
"25645,0","Torreforta","Montblanc, 42","41.11865333","1.217471667","4314820002","AJUNTAMENT DE TARRAGONA"
"25178,0","St. Antoni","Passeig St. Antoni, portal de St. Antoni","41.11843333","1.260801667","4314820002","AJUNTAMENT DE TARRAGONA"
"25591,0","Parc","Av. de Roma, front 19","41.11815667","1.239411667","4314820002","AJUNTAMENT DE TARRAGONA"
"25136,0","Parc","Av. de Roma, 24-26","41.11793833","1.239435","4314820002","AJUNTAMENT DE TARRAGONA"
"25489,0","Carrer Vint, 30","Carrer Vint, 30","41.11765333","1.194033333","4314820002","AJUNTAMENT DE TARRAGONA"
"25515,0","Beneficéncia","Via Augusta, 83","41.11721333","1.26403","4314820002","AJUNTAMENT DE TARRAGONA"
